english_name,description
primeape,fighting pig monkey pokémon  primeape stops being angry only when nobody else is around. to view this moment is very difficult.
growlithe,fire puppy pokémon  growlithe has a brave and trustworthy nature.  growlithe fearlessly stands up to bigger and stronger foes.
arcanine,"fire legendary pokémon the sight of  arcanine running over 6,200 miles in a single day and night has captivated many people."
poliwag,"water tadpole pokémon for poliwag, swimming is easier than walking. the swirl pattern on  poliwags belly is actually part of the pokémon is innards showing through the skin."
poliwhirl,water tadpole pokémon staring at the swirl on  poliwhirls belly causes drowsiness. this tra poliwhirl of poliwhirl is has been used in place of lullabies to get children to go to sleep.
poliwrath,"water tadpole pokémon  poliwraths body is solid muscle. when swimming through cold seas, poliwrath uses  poliwraths impressive arms to smash through drift ice and plow forward."
abra,psychic psi pokémon abra uses  abras psychic powers while  abra sleeps. the contents of abra is dreams affect the powers that the pokémon wields.
kadabra,"psychic psi pokémon using  kadabras psychic power, kadabra lev kadabraates as  kadabra sleeps.  kadabra uses  kadabras springy tail as a pillow."
alakazam,"psychic psi pokémon  alakazam has an incredibly high level of intelligence. some say that alakazam remembers everything that ever happens to  alakazam, from birth till death."
machop,"fighting superpower pokémon  machops whole body is composed of muscles. even though  machop is the size of a human child,  machop can hurl 100 grown-ups."
machoke,"fighting superpower pokémon  machokes muscular body is so powerful,  machoke must wear a power-save belt to be able to regulate  machokes motions."
machamp,fighting superpower pokémon  machamp quickly swings  machamps four arms to rock  machamps opponents w machamph ceaseless punches and chops from all angles.
bellsprout,grass flower pokémon prefers hot and humid places.  bellsprout ensnares tiny bugs w bellsprouth  bellsprouts vines and devours them.
weepinbell,"grass flycatcher pokémon when hungry,  weepinbell swallows anything that moves.  weepinbells hapless prey is dissolved by strong acids."
victreebel,"grass flycatcher pokémon lures prey w victreebelh the sweet aroma of honey. swallowed whole, the prey is dissolved in a day, bones and all."
tentacool,water jellyfish pokémon tentacool is not a particularly strong swimmer.  tentacool drifts across the surface of shallow seas as  tentacool searches for prey.
tentacruel,"water jellyfish pokémon when the red orbs on tentacruel is head glow brightly, watch out. the pokémon is about to fire off a burst of ultrasonic waves."
geodude,"rock rock pokémon commonly found near mountain trails and the like. if you step on one by accident,  geodude gets angry."
graveler,"rock rock pokémon often seen rolling down mountain trails. obstacles are just things to roll straight over, not avoid."
golem,"rock megaton pokémon once  golem sheds  golems skin,  golems body turns tender and wh golemish.  golems hide hardens when  golem is exposed to air."
ponyta,"fire fire horse pokémon  ponyta can’t run properly when  ponyta is newly born. as  ponyta races around w ponytah others of  ponytas kind,  ponytas legs grow stronger."
rapidash,"fire fire horse pokémon rapidash can be seen galloping through fields at speeds of up to 150 mph,  rapidashs fiery mane fluttering in the wind."
slowpoke,"water dopey pokémon slow-w slowpoketed and oblivious, slowpoke won’t feel any pain if  slowpokes tail gets eaten.  slowpoke won’t notice when  slowpokes tail grows back, e slowpokeher."
slowbro,water herm slowbro crab pokémon slowpoke became slowbro when a shellder b slowbro on to  slowbros tail. sweet flavors seeping from the tail make the shellder feel as if  slowbros life is a dream.
magnemite,"electric magnet pokémon at times, magnem magnemitee runs out of electric magnemitey and ends up on the ground. if you give batteries to a grounded magnem magnemitee,  magnemite’ll start moving again."
magneton,electric magnet pokémon magneton is three magnem magnetone that have linked together. magneton sends out powerful radio waves to study  magnetons surroundings.
farfetch'd,"normal wild duck pokémon the stalk farfetch'd carries in  farfetch'ds wings serves as a sword to cut down opponents. in a dire s farfetch'duation, the stalk can also serve as food."
doduo,"normal twin bird pokémon  doduos short wings make flying difficult. instead, doduo runs at high speed on developed legs."
dodrio,normal triple bird pokémon one of doduo is two heads spl dodrios to form a unique species.  dodrio runs close to 40 mph in prairies.
seel,water sea lion pokémon loves freezing-cold cond seelions. relishes swimming in a frigid climate of around 14 degrees fahrenhe seel.
dewgong,"water sea lion pokémon  dewgongs entire body is a snowy wh dewgonge. unharmed by even intense cold,  dewgong swims powerfully in icy waters."
grimer,poison sludge pokémon made of congealed sludge.  grimer smells too putrid to touch. even weeds won’t grow in  grimers path.
muk,"poison sludge pokémon smells so awful,  muk can cause fainting. through degeneration of  muks nose,  muk lost  muks sense of smell."
shellder,water bivalve pokémon  shellder swims facing backward by opening and closing  shellders two-piece shell.  shellder is surprisingly fast.
cloyster,"water bivalve pokémon  cloysters shell is extremely hard.  cloyster cannot be shattered, even w cloysterh a bomb. the shell opens only when  cloyster is attacking."
gastly,"ghost gas pokémon born from gases, anyone would faint if engulfed by  gastlys gaseous body, which contains poison."
haunter,"ghost gas pokémon  haunters tongue is made of gas. if licked,  haunters victim starts shaking constantly until death eventually comes."
gengar,"ghost shadow pokémon on the night of a full moon, if shadows move on their own and laugh,  gengar must be gengar is doing."
onix,"rock rock snake pokémon as  onix digs through the ground,  onix absorbs many hard objects. this is what makes  onixs body so solid."
drowzee,"psychic hypnosis pokémon if you sleep by  drowzee all the time,  drowzee will sometimes show you dreams  drowzee had eaten in the past."
hypno,psychic hypnosis pokémon avoid eye contact if you come across one.  hypno will try to put you to sleep by using  hypnos pendulum.
krabby,water river crab pokémon  krabby can be found near the sea. the large pincers grow back if they are torn out of their sockets.
kingler,"water pincer pokémon  kinglers large and hard pincer has 10,000-horsepower strength. however, being so big,  kingler is unwieldy to move."
voltorb,electric ball pokémon  voltorb is said to camouflage  voltorbself as a poké ball.  voltorb will self-destruct w voltorbh very l voltorbtle stimulus.
electrode,electric ball pokémon stores electrical energy inside  electrodes body. even the slightest shock could trigger a huge explosion.
exeggcute,"grass egg pokémon though  exeggcute may look like  exeggcute is just a bunch of eggs,  exeggcute is a proper pokémon. exeggcute communicates w exeggcuteh others of  exeggcutes kind via telepathy, apparently."
exeggutor,grass coconut pokémon each of exeggutor is three heads is thinking different thoughts. the three don’t seem to be very interested in one another.
cubone,"ground lonely pokémon when the memory of  cubones departed mother brings  cubone to tears,  cubones cries echo mournfully w cubonehin the skull  cubone wears on  cubones head."
marowak,"ground bone keeper pokémon marowak overcame  marowaks sorrow to evolve a sturdy new body. marowak faces  marowaks opponents bravely, using a bone as a weapon."
hitmonlee,fighting kicking pokémon this amazing pokémon has an awesome sense of balance.  hitmonlee can kick in succession from any pos hitmonleeion.
hitmonchan,"fighting punching pokémon  hitmonchans punches slice the air. they are launched at such high speed, even a slight graze could cause a burn."
lickitung,"normal licking pokémon if lickitung is sticky saliva gets on you and you don’t clean  lickitung off, an intense  lickitungch will set in. the  lickitungch won’t go away, e lickitungher."
koffing,"poison poison gas pokémon  koffings body is full of poisonous gas.  koffing floats into garbage dumps, seeking out the fumes of raw, rotting trash."
weezing,poison poison gas pokémon  weezing mixes gases between  weezings two bodies.  weezing is said that these pokémon were seen all over the galar region back in the day.
rhyhorn,"ground spikes pokémon strong, but not too bright, rhyhorn can shatter even a skyscraper w rhyhornh  rhyhorns charging tackles."
rhydon,ground drill pokémon  rhydon begins walking on  rhydons hind legs after evolution.  rhydon can punch holes through boulders w rhydonh  rhydons horn.
chansey,normal egg pokémon the egg chansey carries is not only delicious but also packed w chanseyh nutr chanseyion.  chansey is used as a high-class cooking ingredient.
tangela,"grass vine pokémon hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, tangela is true appearance remains a mystery."
kangaskhan,"normal parent pokémon although  kangaskhan is carrying  kangaskhans baby in a pouch on  kangaskhans belly, kangaskhan is swift on  kangaskhans feet.  kangaskhan intimidates  kangaskhans opponents w kangaskhanh quick jabs."
horsea,"water dragon pokémon horsea makes  horseas home in oceans w horseah gentle currents. if horsea is under attack,  horsea sp horseas out p horseach-black ink and escapes."
seadra,"water dragon pokémon  seadra is the males that raise the offspring. while seadra are raising young, the spines on their backs secrete thicker and stronger poison."
goldeen,"water goldfish pokémon  goldeens dorsal, pectoral, and tail fins wave elegantly in water. that is why  goldeen is known as the water dancer."
seaking,"water goldfish pokémon in autumn,  seakings body becomes more fatty in preparing to propose to a mate.  seaking takes on beautiful colors."
staryu,"water starshape pokémon if you vis staryu a beach at the end of summer, you’ll be able to see groups of staryu lighting up in a steady rhythm."
starmie,water mysterious pokémon starmie has an organ known as  starmies core. the organ glows in seven colors when starmie is unleashing  starmies potent psychic powers.
mr. mime,psychic barrier pokémon the broadness of  mr. mimes hands may be no coincidence—many scientists believe  mr. mimes palms became enlarged specifically for pantomiming.
scyther,"bug mantis pokémon as scyther fights more and more battles,  scythers scythes become sharper and sharper. w scytherh a single slice, scyther can fell a massive tree."
jynx,"ice humanshape pokémon in certain parts of galar, jynx was once feared and worshiped as the queen of ice."
electabuzz,electric electric pokémon many power plants keep ground-type pokémon around as a defense against electabuzz that come seeking electric electabuzzy.
magmar,fire sp magmarfire pokémon magmar dispatches  magmars prey w magmarh fire. but  magmar regrets this hab magmar once  magmar realizes that  magmar has burned  magmars intended prey to a charred crisp.
pinsir,"bug stagbeetle pokémon these pokémon judge one another based on pincers. thicker, more impressive pincers make for more popular pinsiry w pinsirh the oppos pinsire gender."
tauros,"normal wild bull pokémon when tauros begins whipping  taurosself w taurosh  tauross tails,  tauros is a warning that the pokémon is about to charge w taurosh astounding speed."
magikarp,water fish pokémon  magikarp is virtually worthless in terms of both power and speed.  magikarp is the most weak and pathetic pokémon in the world.
gyarados,water atrocious pokémon  gyarados has an extremely aggressive nature. the hyper beam  gyarados shoots from  gyaradoss mouth totally incinerates all targets.
lapras,"water transport pokémon a smart and kindhearted pokémon,  lapras glides across the surface of the sea while  laprass beautiful song echoes around  lapras."
ditto,"normal transform pokémon  ditto can reconst dittoute  dittos entire cellular structure to change into what  ditto sees, but  ditto returns to normal when  ditto relaxes."
eevee,normal evolution pokémon  eevee has the abil eeveey to alter the compos eeveeion of  eevees body to su eevee  eevees surrounding environment.
vaporeon,"water bubble jet pokémon when vaporeon is fins begin to vibrate,  vaporeon is a sign that rain will come w vaporeonhin a few hours."
jolteon,"electric lightning pokémon if  jolteon is angered or startled, the fur all over  jolteons body bristles like sharp needles that pierce foes."
flareon,"fire flame pokémon once  flareon has stored up enough heat, flareon is body temperature can reach up to 1,700 degrees fahrenhe flareon."
porygon,normal virtual pokémon state-of-the-art technology was used to create porygon.  porygon was the first artificial pokémon to be created via computer programming.
omanyte,"rock spiral pokémon because some omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem."
omastar,"rock spiral pokémon weighed down by a large and heavy shell, omastar couldn’t move very fast. some say  omastar went extinct because  omastar was unable to catch food."
kabuto,"rock shellfish pokémon this species is almost entirely extinct. kabuto molt every three days, making their shells harder and harder."
kabutops,rock shellfish pokémon kabutops slices  kabutopss prey apart and sucks out the fluids. the discarded body parts become food for other pokémon.
aerodactyl,rock fossil pokémon this is a ferocious pokémon from ancient times. apparently even modern technology is incapable of producing a perfectly restored specimen.
snorlax,"normal sleeping pokémon  snorlax is not satisfied unless  snorlax eats over 880 pounds of food every day. when  snorlax is done eating,  snorlax goes promptly to sleep."
articuno,"ice freeze pokémon  articuno is said that articuno is beautiful blue wings are made of ice. articuno flies over snowy mountains,  articunos long tail fluttering along behind  articuno."
zapdos,electric electric pokémon zapdos has complete control over electric zapdosy. there are tales of zapdos nesting in the dark depths of p zapdosch-black thunderclouds.
moltres,"fire flame pokémon  moltres is one of the legendary bird pokémon. when moltres flaps  moltress flaming wings, they glimmer w moltresh a dazzling red glow."
dratini,"dragon dragon pokémon dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. as  dratini grows, dratini will shed  dratinis skin many times."
dragonair,"dragon dragon pokémon dragonair lives in pristine oceans and lakes.  dragonair can control the weather, and  dragonair uses this power to fly into the sky, riding on the wind."
dragonite,"dragon dragon pokémon  dragonite is a kindhearted pokémon. if  dragonite spots a drowning person or pokémon, dragon dragonitee simply must help them."
mewtwo,"psychic genetic pokémon  mewtwos dna is almost the same as mew is. however,  mewtwos size and dispos mewtwoion are vastly different."
mew,"psychic new species pokémon when viewed through a microscope, mew is short, fine, delicate hair can be seen."
